Name,Guild,Race,Total Level,Items
Labaguette+Alexina,Baguette,Human Female,29412,
Raumii,,Elf Female,0,
Zchenmor,Xzenmagic,Human Female,24849,
Pascalcap,Kivotos,Human Female,22287,
Sulu123,Takingover,Giant Male,39912,
Tenshi3842,Looters,Elf Male,52907,
Mrbomber,,Human Male,26962,
Cyanapple,Severe,Elf Male,55313,
Hakkapelle,Alliances,Human Female,65667,
Sprouts,Plump,Human Male,41178,
Miya,Joltbolt,Giant Female,93660,
Talvie,,Elf Female,22140,
Ushido,Afterburner,Human Male,70583,
Rejie+Mari,,Elf Male,21051,
Aislinnie,,Human Female,10403,
kasuikumo,Grumbills,Human Male,45507,
Mizukih,Equestria,Human Female,12711,
Pastelghost,,Human Male,24829,
Homurar,Mercury,Human Female,31897,
Hirikiya,Kronos,Human Female,20402,
Shadowheartl,Abysswalkers,Human Female,54560,
Reykas,,Elf Female,32722,
Algander+Ruairi,,Human Male,116,
Xanadu+Alexina,,Human Male,33066,
Yuralui,Carcharadon,Human Female,35212,
Mwooni,Alcohol,Elf Female,22334,
Icewiz+Mari,,Elf Male,0,
Liamousee,,Human Female,2667,
Sangohan4,Visions,Human Male,72030,
nyxssi,,Elf Female,0,
Epicadven,Wander,Human Male,110402,
Laticija,Luxubu,Elf Female,75518,
Striath,Motion,Human Male,69003,
Dissociated,Ghoul,Elf Male,26853,
ghastler45,,Elf Female,0,
Deodeiro,,Human Male,173980,
Sogu,Alcohol,Human Female,40792,
Masterys,,Human Male,0,
Mrkimmchi,Peace,Human Male,67599,
Macorroni,Submachine,Human Male,43669,
Chamisul,Boss,Giant Female,56513,
Torchhawkk,Macedonia,Human Female,85402,
Rozalyst,,Human Female,0,
Viktorika+Alexina,Hissfunction,Human Female,44643,
Kyoupon,Elona,Human Female,66850,
lilyknights,Frens,Human Female,53616,
Sylvestre+Tarlach,Kyndred,Elf Male,149572,
Lunixtyllia,,Giant Female,54160,
Baronessjoy,,Human Female,2757,
Marshie08,Motion,Elf Female,24836,
Kusaknight,Aulung,Human Male,42539,
Esserge,Oekaki,Giant Male,70027,
Ztarkey,Save,Human Male,40039,
Levitisk,,Human Female,52649,
Bornstellar,Dumpling,Human Male,71034,
Chronicpoisn,,Human Male,43678,
Erillis,Arms,Human Female,75219,
GTMunch,Cakes,Elf Male,23110,
Lilyvati,Boundaries,Elf Female,82104,
Slumbersome,,Human Male,50575,
Elluan,Eloquent,Human Female,78203,
kkami,Lost,Human Male,52800,
Moof,,Giant Female,485,
Cailun,,Human Female,47948,
Catho+Alexina,,Giant Male,22228,
ninelivesx,Helldiver,Elf Male,44774,
zunikim,Breakfast,Elf Female,41646,
Deadclassic,Inquisitors,Giant Female,22233,
Wrishur,,Giant Female,22630,
Rainhand,Chai,Human Female,63259,1080048
Echozakarias,Equites,Human Male,46286,
Zylah,Fried,Elf Female,48764,
Vahria,Transcend,Elf Female,37227,
Gogo,Radio,Human Female,108307,
Hayabusa10,,Human Male,0,
Kunmao,Arkadia,Elf Male,22612,
Arturhias,Phase,Human Female,58243,
Sandydc,Available,Elf Female,47431,
Anhariel,Fayenia,Elf Female,56975,
Torunara,,Human Female,83948,
Smithitems,,Human Female,274,
Senter921+Alexina,Oracion,Elf Male,21737,
Binktheboi,Fayenia,Human Male,42333,
Gigelle,,Giant Female,21906,
Jasmin,Poyo,Human Female,57919,
Tonarimo,Lonewolves,Elf Male,88865,
Smoke,Gotei,Elf Male,63026,
Lilithvas,Shinku,Human Female,23307,
Longlivelf,,Elf Male,21727,
Marmarle,Severe,Human Female,91407,
Yuyei,Terrasen,Human Male,41998,
Varakiel,Niflhel,Human Male,63424,
Amegin,Transcend,Human Male,60196,
Octozombie,,Elf Female,21285,
Devoid2009+Alexina,Alliances,Human Male,28799,
Bytholwyrdd,Snow,Elf Female,26514,
Corpio3,Niflhel,Human Male,49353,
Kittyplay,Pickleposse,Human Female,96183,
Idabel,Eden,Giant Female,27068,
Thomasblitz,Blitzknight,Human Male,40791,
Casserola,,Human Female,1,
Dordo,Sword,Human Male,93391,
Tauron,Kyndred,Human Male,41872,
Efrenia,Doujin,Elf Female,96027,
pupperpage,Chronica,Human Female,98705,
OTLE,,Giant Male,61502,19406
Asaph+Ruairi,Galletyle,Human Male,28363,
mrsgaga,,Human Female,868,
Xanta,Severe,Human Male,72583,
HASAQI,Peace,Giant Male,108596,19406
Ciroschi,,Human Male,75406,
Azaleen,Atom,Elf Female,32393,
Soul,Serial,Human Male,59166,
Purrmaid,Paeonia,Elf Female,63058,
mochimabi1,AOGIRI,Giant Female,21735,
TKnee,Astarum,Giant Male,46049,
Asuka95,Capulet,Human Female,52965,
Rudalis,,Human Male,0,
Arkvalken,Wise,Giant Male,42513,
Suanii,thorny,Elf Female,62576,
Wyllhell,Eradicate,Human Female,64470,
Cybershooter,,Human Male,48755,
Arisu02,Trident,Giant Female,78683,
Zeld+Tarlach,Juice,Human Male,57366,
Ryulen,,Human Male,93735,
Spewks+Alexina,Grumbills,Giant Male,55772,
Yeldonut,Eminence,Human Female,55564,
Lysilver,Kirin,Human Female,53359,
Wombocumbo,,Giant Male,0,
Technokeito,Rebarded,Human Male,22058,
Raziel,ICRKI,Human Male,56894,
Danyelle,Moonstone,Human Female,50503,
energypill,Lost,Human Female,96104,
Elliere,Hobolympics,Elf Female,43404,
Aerosthoria,,Human Male,0,
Dagdaeus,,Giant Male,0,
Shionha,Amsiedad,Human Male,47617,
Envy,,Elf Female,68839,1080048
Compiler,Geass,Human Male,70377,
Chestnutzs,,Human Male,2016,
Yunibubu,Visions,Human Female,93306,
Irisaya,Orca,Human Female,59910,
Beclucifer,Adorable,Human Female,21793,
Touyakun,Frosty,Elf Male,87664,
Mdtweety,Tweetyreaper,Elf Female,25895,
Inukazutachi,,Giant Female,33617,
Notnathan,Instagram,Human Male,23774,
Jessina+Ruairi,,Human Female,0,
Aviche,,Human Male,0,
Allcreation,Troupe,Elf Female,74209,
Ricebeam,Shiloh,Human Male,55214,
largesauce,,Giant Male,20049,
Celebrimborr,Sparta,Elf Male,48170,
zhongetsu,Eloquent,Human Male,42034,
Camazotz,Alliances,Human Male,56473,
Petshop0,Noctis,Human Male,60964,
Bluelcy,Insomniac,Human Female,32792,
Friendchip,Fillia,Human Male,47270,
Bluey78,Motion,Giant Female,33808,
Skyfowl,Lost,Human Male,72933,
saccharlne,Coexist,Human Female,23512,
JJOON,Eggie,Elf Female,90590,
Hogh,Cinnamon,Giant Female,82724,
BHKashas,Swirl,Human Female,44260,
DDevil1331,Cozycrew,Human Male,28006,
humanthunder,Juice,Human Female,127728,19407
khaosgremoin,,Giant Female,0,
Cessin,Vanquisher,Human Male,46860,
Exeux,Daydream,Human Female,57485,
Yifei,Chuuni,Human Female,24760,
Lazili,,Elf Female,25248,
speedy278,Huggables,Human Female,30679,
Roamera,Majesty,Human Male,21536,
Mauroc,,Elf Male,21942,
Vaelissa,,Elf Female,0,
Neptunyan,Haniwa,Human Female,78087,
Berns+Alexina,Friendly,Human Male,40530,
peebeeandjae,Vulneq,Human Male,18930,
Vanderwood,Carnality,Human Male,106691,
Jijoblaze,Tentacult,Human Female,91384,
Skjornsen,theholyorder,Giant Male,26310,
Alkus,Shakari,Giant Male,42271,
Chargers1,,Human Male,26943,
Xanai+Mari,,Human Male,26918,
Melsolati,Dinner,Giant Female,40074,
Ammariya,,Human Female,74906,
Kumikokyo,,Human Female,56909,
Hottietottie,,Giant Female,73544,
Uriusmaximus,Eloquent,Giant Male,59180,19406
Heebiee,Dementia,Elf Male,59541,
Tbh,Diamonds,Human Female,121234,19407;19407
prime117,,Human Male,47567,
Hakanushii,,Elf Female,0,
Iandryr,,Human Male,20842,
foxybrandy,lnsane,Human Female,53962,
Veinn,Delete,Elf Female,61500,
Prostar,Succ,Human Male,68546,
Dollsie,,Human Female,0,
Kistin,SEGA,Giant Female,24975,
anamate,Venice,Elf Female,55315,
Stasy,Treehouse,Human Male,14440,
Ritatika,Magical,Human Female,53372,
Jackhughman,,Human Female,36604,
Mrpirate,Boundaries,Human Male,28218,
Jhouros,Akuryo,Human Male,25668,
Lollita,GRUMPY,Elf Female,53141,
Jadeflora,,Human Female,24982,
Silversox,Freesia,Human Female,22596,
Heimarmenee,Eradicate,Human Female,61679,
Zuka,Oaks,Human Male,44183,
Sanzinin,Wander,Human Female,113141,
Kaiikona,,Giant Male,80,
Sereiax,Frens,Elf Female,49354,
Sebioke,Eggie,Elf Male,36094,
Mazerux,Hershey,Giant Male,76041,
Luahna,Chai,Giant Female,98257,
Notacatcat,Wintertide,Human Female,53957,
Lamiad,,Elf Male,42254,
Luke3556,Lethaldrive,Human Male,73530,
Northerner,,Human Male,37067,
Rosanoisette,,Human Male,3177,
Luisub,Dementia,Elf Male,31861,
bobo,Restless,Human Female,61052,
Ishidoh,,Human Male,143,
TensaiTsuruji,Fenith,Elf Male,68265,
Korogras,Deadly,Giant Male,31964,
Suguetsu,Lost,Elf Male,55162,19406
Amrion,Sakura,Human Male,1682,
Pepora,Ponder,Elf Female,73164,
jun101,Shenanigans,Giant Male,56363,
Sakuyahime,,Elf Female,25315,
PIutonium,Special,Elf Male,22955,
Fortumlen,,Giant Female,1,
kirbystar,Juice,Human Male,90668,
Siv,Havens,Human Male,94420,
Rysia,,Human Female,25054,
Mirulettie,,Elf Female,0,
Lumina,Hollow,Human Female,60935,
Locket,Retired,Human Male,94229,19406;41233
XSniper+Ruairi,Niflhel,Elf Male,40142,
Spoofymon,Havens,Elf Female,77705,
Yrsel,Kirin,Human Female,50276,
Rotoscope,,Elf Male,0,
Nelfy,Platinum,Human Male,73923,
everesting,,Elf Male,17515,
Sho1+Mari,,Human Female,0,
Gennji+Alexina,,Human Male,22077,
Aeanii,,Human Female,42897,
bluearma,,Human Male,44933,
Biniss,Nightrise,Human Female,40194,
Melunina,Dementia,Human Female,65618,
Zarix,Cozycrew,Human Male,23463,
Theron,Grumbills,Human Male,65615,
Puredark+Tarlach,Cozycrew,Human Male,76444,
Raephael,Shenanigans,Giant Male,33514,
Behoimi,Niflhel,Elf Female,28801,
Corinoza,SHADOWGARDEN,Elf Female,53435,
Catcatbluebo,Lost,Elf Female,95697,
Kaminari244,,Human Male,21867,
bigcats1852,,Elf Female,505,
OUTTASTOCK,Sleep,Giant Male,93066,19406;1200043;3100003
Kinjutsu,Solarium,Elf Male,20415,
Leon,Transcend,Human Female,54550,
Nie,,Human Female,0,
Castannea+Alexina,Valynthearts,Elf Female,47906,
Enjoylife,Player,Human Male,65490,
rawrrowo,Equites,Human Female,61876,
Reoji,Severe,Human Male,40055,
Razae,Fenith,Human Female,59639,
Pucelle,,Elf Female,46779,
Toybickler,Magical,Giant Female,50483,
Berrysprout,,Elf Female,29646,
Sadpandax,Goodmorning,Human Male,40419,
Wafflegod,Grumbills,Giant Female,71602,
Gasingirl,Diamonds,Giant Male,51036,
Drakeferus+Alexina,Fillia,Elf Male,39230,
miyadasensei,,Human Male,70564,
Aetherblitz,Visions,Human Male,48201,
Orlachia,Blacktea,Giant Male,57582,
Feroze,Kitsunee,Human Male,49581,
Vartaefe,,Human Male,0,
Kyra26,,Elf Female,0,
Cotterite,,Elf Female,55649,
Kaltropz,,Human Male,3248,
Chouhi+Mari,Seal,Human Female,22647,
Thebigiguana,Looters,Human Male,23793,
Noiwa,lnsane,Human Female,54752,
Deadtaco+Alexina,Valynthearts,Human Female,49132,
Lonnyier,Dinner,Human Male,24640,
Rebooting,sniff,Elf Female,26341,
Ashryyn,,Elf Female,63687,
nyny17,Severe,Human Female,41217,
coolkaze,Kanata,Human Male,41618,
Leonade,Aruarian,Elf Male,50999,
Cowiexo,,Elf Female,0,
Natatatata,Ruby,Elf Female,89687,19407
Cygnusleonia,Frens,Human Male,2025,
Biggbuns,,Giant Female,27770,
Jigokukun,Mazoku,Human Male,49788,
kitty133,Drunknlegion,Human Female,100759,
Syzgy,Guild101,Human Male,47452,
Dawnpatch,,Human Male,54674,
Lukey,,Elf Female,0,
Obscurus,Juice,Human Female,59375,
Mewostic,Visions,Elf Female,44728,
Gjavirlz,Abysswatcher,Giant Female,88253,
yukinoshita,Sleep,Human Male,75915,
Wilhelmina,Hershey,Elf Female,62921,
Veneris,,Human Female,40232,
Tsunyankuu,,Human Female,104,
Pero,Freesia,Human Male,38075,
Veuliah+Alexina,Amsiedad,Giant Male,29310,
Lunafiel,Wander,Human Female,52442,
Yujinkwon,Optimates,Human Female,42152,
Kagummi,Unkoalafied,Elf Female,44713,
Eowenn,Isilme,Giant Female,41203,
Lycianthes,Cardinal,Giant Female,25681,
mktheviking,Aerouant,Human Male,25896,
Jayvonian,,Elf Male,0,
falselashes,Shiny,Elf Female,52,
Ploojin,,Human Male,0,
Leozaphyr,,Human Male,9,
shadow0911,Carcharadon,Human Male,52265,
Ptilol,Meido,Elf Female,31510,
Vyvii,Bunbunempire,Elf Female,77376,
Enanan,Valynthearts,Human Female,33859,
wexa,Archive,Human Male,42394,
Rasuteru,Holyhydra,Elf Female,59503,
Khalev,,Human Male,965,
MILLENIUMo7,Eggie,Elf Male,87543,
Nyasa,,Elf Female,106330,
LLensh,Mahou,Elf Female,27813,
Myusuka,,Human Female,0,
Faune,,Human Female,77940,
Adulations,Guild101,Elf Male,96738,19406;1420006;1040054
Timonts,,Human Male,25114,
Frendia,Arrowstar,Human Male,57705,
LFMemes,Durian,Human Female,28348,
Moukoken,,Human Male,0,
Peachpia,Wander,Elf Female,60847,
Kazanaa,Cakes,Human Male,40824,
Nunomo,Frens,Human Female,55384,
Novallty,Hershey,Elf Female,107504,
Sonoha,Nakamas,Human Female,64449,
ggui,Cozycrew,Human Male,23939,
Vly,Stormy,Human Female,23574,
Janemarie,Faernrrinae,Human Female,58277,
Soryykkah,Carcharadon,Elf Female,54571,
Kibiyuki,Cakes,Human Female,35557,
Tyeboi,Fwiff,Human Male,60977,
tacklebox357,Isekai,Human Female,43702,
bongou,Peace,Elf Female,45848,
Kiitto+Alexina,,Human Male,20990,
Stugua,Infinity,Human Female,47957,
Aethin,,Elf Female,26154,
Evaris,Zenko,Human Female,51303,
Atsutomi,Shenanigans,Human Male,70124,
nyseu,Juice,Giant Female,40940,
Gumayoon,,Human Male,23564,
Solu5,Visions,Human Male,91931,
Anlas+Alexina,Valynthearts,Human Male,35577,
Cynasty,Niflhel,Human Male,23111,
Rovince,Panhub,Human Male,57992,
Chocoette,Wealth,Human Female,77363,
Kuzumaru+Alexina,Motion,Human Male,26076,
Beluved,Peace,Elf Female,25958,
Nemomimi,Fayenia,Elf Female,25439,
Ichigtempest,Prudentia,Human Female,20688,
Banchaa,,Human Female,65048,
Natsuiro,Wander,Human Female,74899,
Zero460,Reincarnate,Human Male,67873,
Weebgirl,,Human Male,56737,
dark487,,Human Male,55746,
Vtlaghe,Rosemary,Human Male,42898,
ZMipha,Gotei,Human Female,73111,
Moisturiser,Peace,Elf Male,54302,
Gleamingz,Motion,Elf Male,49854,
Krisnick28,Niflhel,Human Male,62468,
Kameronmcl,MCLENDON,Elf Male,47657,
Rou,,Human Female,0,
Reuria,,Elf Female,0,
cid1122+Tarlach,Boopsquad,Human Male,50864,
Chelsey,Cozycrew,Human Female,27522,
Tsoma,Severe,Human Male,84841,
larasany,Sacred,Human Female,28389,
Flampy,Mabigen,Elf Female,49753,
RBS,Suicidedolls,Human Female,21322,
BANGERBOGARK,Goodmorning,Elf Male,56357,
fed651,Visions,Elf Male,75290,19406;19406
Khaizin,Ashen,Human Male,82421,
Iilk,Arius,Human Male,91984,
Eshya,Valynthearts,Elf Female,78457,
Brandobard,Treblemakers,Human Male,50367,
Oeddarm,Mercury,Giant Male,11353,
Kenma,Goodmorning,Human Male,53387,
Pewter,Chivalrous,Human Male,67024,
Iryo,Milis,Human Female,47432,
Yasushi+Alexina,Oracion,Human Male,69425,
Jiiniia,Wander,Human Female,56957,
Exvius,Servant,Human Male,53574,
Ronginus,,Giant Female,47631,
riprred,Takingover,Giant Male,58151,
Meankidd,Vibing,Human Male,81078,
Edetha,Boundaries,Human Female,80075,
CKN,Alcohol,Human Female,64972,19407
Xgreenicicle,Nintenerds,Human Male,95844,
Amandapeachy,Blossom,Human Female,59164,
Elfayra,Peace,Elf Female,45667,
ikmisje,Rivulet,Human Male,231,
halowhere,,Human Female,36664,
Tearxotoku,Isekai,Elf Female,73448,
Humanlight,,Human Female,7422,
Catdancing,Thechampions,Human Male,55277,
Tatsumi,Hershey,Human Male,79210,
Evernal,Fayenia,Human Male,71200,
Gauntdusk,,Human Female,1033,
Phornhub,Cakes,Human Male,24385,
Murrmur,Eradicate,Giant Female,70960,
Triigun,Vanquisher,Elf Male,46599,
Gengar,Luxubu,Human Male,54086,
Malichu,Boundaries,Human Male,80405,
Medii,Fwiff,Human Male,58974,
Midasagbara,Noircats,Human Male,52015,
Xannelf,Isekai,Elf Male,41376,
Shyscythe,thorny,Elf Female,64033,
Trajin,Wildhunt,Elf Male,52487,
Anthina,Cwiar,Human Female,48575,
Blysse+Mari,Phone,Human Female,21489,
Clone937,,Human Male,5579,
Rebooted,,Human Female,0,
Dissonancex,Godhand,Human Female,54810,
Priestbilly,Eminence,Human Male,71838,
Haylli,,Human Male,41908,
Lodyfay,Available,Human Male,82032,
Xamrk,,Human Male,35771,
ichigaya,,Human Male,33025,
Nonskiller,Nonskilled,Human Male,32511,
Shutara,Sheepies,Human Female,23526,
Evelynjade,,Elf Female,20526,
Myolfeer,,Human Female,20,
Vos,Peace,Human Female,63014,
Natsuyuuhi,Lost,Giant Female,62405,1200043;19407
Ayutari,Meowbinogi,Human Female,23292,
Lalamulalumu,Transcend,Human Female,43736,
Shadowdill,Calm,Elf Male,25423,
NIMORl,,Giant Male,8060,
EUSeus,Miata,Giant Female,46385,
Praxidikai,Mercury,Human Female,47227,
Vell,Freesia,Human Male,74377,
Cypfen,Supermarket,Human Male,35654,
Lunapudding,Visions,Human Female,67596,
Nikolai,,Human Male,27928,
Syuu+Tarlach,,Human Female,24707,
Tsukitenebra,GRUMPY,Elf Female,100110,
Monasimp,Lostbelt,Human Female,40363,
wutdoyoumean,BUFF,Elf Female,116201,19407
Kayeren,,Giant Female,45492,
Llolfaeyn,,Elf Female,25525,
Ginbachi,Convocation,Elf Male,55870,
Bunnrora,Artificers,Giant Female,85965,
Slowboku,Udon,Elf Female,45143,
Kylesocool,Drowsy,Elf Male,48810,
Briarway,,Human Female,4663,
damedanefan,Selkies,Human Female,23713,
Vitrotwo,,Giant Male,7328,
Fhay,Lambda,Human Female,43155,
Oaranel,Shenanigans,Human Male,50491,
Sophy,Goodmorning,Human Female,72700,
Meigumi,,Elf Female,0,
Neosdacorgi,Eloquent,Giant Female,37354,
Loyal,,Human Female,51850,
humandude,Magical,Human Male,63459,
Blakens,,Human Male,101555,
Ryushukin,Ravenclaws,Elf Male,49855,
Kodeikame,Valynthearts,Human Female,56374,
Valenza,Arasaka,Elf Female,24089,
Pandaceia,Severe,Elf Female,32245,
Solazyr,,Giant Male,20303,
Vexxian,Adventsouls,Human Female,39020,
Hojulima,,Elf Female,1857,
Sweetcoffee,Sinister,Elf Female,4046,
Intensu,Cowcafe,Human Female,73600,
Wildcat2002,,Giant Female,2278,
Satsukigal,MOSS,Human Female,32602,
Andreacelest,,Elf Female,31079,
Hazelithena,Ardent,Human Female,91651,
Yukishiki,Oekaki,Human Male,79828,
Lump12+Ruairi,Godly,Elf Male,91057,
Vezon,Luxubu,Human Male,66501,
Ariserta,,Human Female,24,
Talkla,Platinum,Elf Female,85593,
Zenith,Delirium,Human Female,55997,
Reaperes,,Giant Female,0,
Mayxsm,VRChat,Elf Female,46019,
Spooky,Chai,Elf Female,81659,19407
Kenarin,,Giant Female,0,
bowonni,,Elf Female,23965,
Kynh,,Human Male,9015,
Mirrorbroken,Motion,Human Female,25761,
Collot999,,Human Male,1,
Amyamyamy,,Human Female,52571,
Binoo+Ruairi,,Elf Male,21400,
Saferix,Slayer,Elf Female,34631,
Khamael,Valentine,Elf Male,42003,
Bastardly,Frens,Human Male,54105,
akuerfakushi,Arbitrary,Human Male,56142,
Skyekitsuna,Zenko,Elf Female,24884,
Lemonmousse,Iris,Human Female,44397,
Nabaligtad,,Elf Male,992,
Sdwcdrghost,Optimates,Human Female,58108,
Tastybunny,,Elf Female,109980,
Meatmaster69,,Elf Female,0,
Thundrrthigh,Pickleposse,Giant Male,67116,
Impotssible,Rururu,Human Female,41106,
Ryusensei,Troupe,Human Male,47394,
oogilah,Lost,Human Male,78790,1230039;19406
Tomoni,Motivational,Human Male,23158,
Legoboog,Alliances,Elf Male,47191,
Kireil,Cavalry,Human Male,68302,
Elusivin,Motion,Human Male,62277,
Jeku,,Human Male,20746,
Velzeria,Wanderlan,Human Female,38898,
Travix,Lost,Human Male,63821,
Eternaldunks,Swirl,Human Female,29047,
Clariche,Valencia,Human Female,75113,
Caramilie,Chai,Elf Female,45186,
Vividela,,Elf Male,24762,
Konava,,Giant Male,78,
BIGTREEHERE,Eggie,Human Male,65513,
ico24,,Human Female,0,
friedkoolaid,Deardrops,Human Male,57528,
cykid,,Human Male,52667,
Dylluminati,Sunshine,Human Male,99037,
Lowelli,Eggie,Human Female,77031,
Konlulu,,Elf Female,20775,
Cumila,,Human Female,26641,
Aresima,Witchery,Human Female,33688,
Happi,Luxubu,Elf Female,115363,
Orrian,,Human Male,56188,
Alovera,Arkadia,Human Female,60383,
pummei,,Human Female,78624,
yenjin,EXAM,Human Male,81117,
Erovar,Majesty,Elf Male,56253,
Falgor,Visions,Elf Male,75057,
Katie22,Moonfoxes,Elf Female,25020,
Mooninmyface,Lunelo,Elf Female,27694,
Jiangry,Boundaries,Elf Female,35204,
Nanoangstrom,Sundew,Elf Female,68310,
alejan+Ruairi,,Human Female,33522,
Yakumogenso,Godslayer,Human Female,59025,
Sayoka,,Elf Female,46412,
Criticalfire,Pinnacle,Human Male,105836,
Skystone,,Human Male,0,
Naome,Oath,Human Female,64196,
Tswvyim,,Giant Male,38746,
corncheese,Boopsquad,Human Female,40354,
Emuneys,Hershey,Human Male,93498,
Cyborg001,Kyndred,Human Male,101118,
Bigcheems,Boopsquad,Giant Female,46400,
Jakkiro,,Human Male,61042,
Mayauel,Hiraeth,Elf Female,45912,
Moonkit,Vsekai,Human Male,28401,
Pillow,Lost,Human Male,73841,19406;1060011
Louisechan,,Human Female,0,
zeloseles,Moonshine,Elf Female,24863,
Tiyen,Goodmorning,Human Male,79758,
Erun,Onikage,Human Male,40486,
Greatraining,,Giant Female,302,
Gundam762,Delirium,Human Male,55531,
Gall+Ruairi,Dead,Human Female,65835,
Arzzy,,Human Female,50878,
Fifs,,Elf Female,51110,
Miame,Arms,Human Female,26228,
Ullxia,,Human Male,20482,
Fatoshi,Lost,Human Male,76990,
Sal,Sundew,Elf Female,70088,
Sapphirerays,,Human Female,9952,
Vainan,Isekai,Elf Male,58614,
Maskedjonin,Niflhel,Giant Male,24228,
Eirika,,Human Female,53888,
Nindri,Mitigate,Human Male,101109,
Levius,Vanaheim,Giant Male,30480,
Eddiebauer,,Giant Male,740,
Reinsensei,Tiredpotato,Human Female,4623,
Torriden,,Elf Male,45,
coping1,,Giant Male,0,
Xntryss,Blossom,Human Female,22183,
Calistin+Alexina,Reavers,Human Male,40918,
Nidago,,Human Male,25097,
Sweetmints+Alexina,Andromeda,Elf Female,48760,
Shirakoi,Frosty,Elf Female,38127,
Spidernet,Eggie,Giant Male,65155,
ZXHiryu,Blacktea,Human Male,75013,
Tanakara,Juice,Human Female,69192,
Loenziel,lnsane,Human Male,51371,
Seiryuyasha,Optimates,Human Male,45073,
Inubawa,STANK,Giant Male,95703,
Letrie,Goodmorning,Elf Female,95901,
Wistari,Goodmorning,Elf Female,81149,
Spearment+Mari,,Elf Female,33,
Yueran,Goodmorning,Elf Male,83123,
Raugan,Hershey,Human Male,68666,
Nohara,Visions,Human Female,60945,
Reviery,,Elf Female,1830,
TYang,Isekai,Elf Female,49185,
Keyho,IDLost,Human Female,24276,
Menniis+Alexina,Eradicate,Human Female,109800,19407
Gwyniieth,Optimates,Elf Female,43921,
Queeny132,Cinnamon,Elf Female,91361,
Taldraysdon,LOF4,Elf Male,56592,
bluecrystals,Chillin,Giant Female,23509,
Electricity,Blood,Human Male,106026,
Caliea,Mitigate,Elf Female,31348,
Ciroswolf,,Human Female,27496,
Rioro,Crunchy,Human Male,21802,
Mimellia,thorny,Human Female,52808,
Vivacity,Ardent,Giant Female,71825,
Marisa01,,Human Female,0,
Scrubson,Losers,Human Male,48921,
Runato,Phase,Human Male,52188,
Amachia,,Giant Female,0,
nekobuns,,Human Female,0,
Sakurin,Audicia,Elf Female,100968,
Sammirisu,Diasomnia,Human Male,59244,
firekid93,Vanquisher,Human Male,70703,
Bubbub,SAINTXGUARD,Elf Male,31301,
playboy14,Optimates,Human Female,44621,
Cupcake,,Human Female,0,
Hirokururi,Wander,Human Male,75002,
Shmoomie,,Elf Female,0,
mokkudaddy,Whaleforce,Human Male,139363,
Remkochan,Asesinos,Human Female,23738,
Yonne,,Human Male,49401,
Exiras,Hershey,Human Female,59858,
IHatake,,Elf Male,0,
Thebe+Alexina,Phase,Human Female,24168,
Velfethus,,Giant Male,22524,
Iztato,Nomad,Human Female,32258,
losav,Valencia,Human Female,62465,
Sanguiney,Wander,Human Female,74461,
Ryu,,Human Male,76700,
Wakumii,Severe,Human Female,50026,
Idiot,Goodmorning,Human Male,83862,1040054;3100003;19406
Nyansly,Disturbance,Human Female,70967,
Blkdemon+Alexina,,Elf Male,29914,
Vybz,Redacted,Human Female,29645,
stickytape,,Elf Male,40271,
Aurephia,Sword,Giant Female,22218,
Exscalever,thorny,Human Female,66897,
yumri18,,Elf Female,0,
Sarahxfarron,,Human Male,20963,
Azulah,Nightbringer,Giant Female,68619,
Pudenda,Boyz,Human Male,59630,
Arrosa,Goodmorning,Human Female,69106,1000059;19407
zigsy,,Human Male,0,
Storeggie,,Human Male,45,
SenorCleen,,Human Male,0,
Raedon22,Goodmorning,Human Female,88996,
Runonair,Serial,Elf Male,79086,
Nyvee,FORCE,Human Female,11772,
Lotuses,Sleep,Human Female,47729,
Knightconga,Eggie,Human Female,33813,
smdthsl,nyangnyang,Elf Female,33952,
touchrne,Shenanigans,Elf Female,8153,
Myu,Transcend,Human Female,48733,
Sirvo,Hollow,Human Male,33623,
Colletedevil,Faethful,Human Male,40488,
Neryon,Crescent,Human Male,29549,
Haseeo,Hollow,Human Male,39659,
Zaizei,Saturn,Human Female,56856,
Domenicus,,Giant Male,0,
Bym,Valencia,Human Male,60546,
Enkiridian,,Human Male,21943,
Mii,Mazoku,Human Female,53685,
AMILCAR+Ruairi,Phase,Human Male,103732,
Ericholder,,Elf Male,142,
Babysitter,thorny,Giant Female,99191,
Dusk,Goodmorning,Human Male,67878,1430005;1050017;3100003;19406
Raynsoft7840,Toastedbuns,Human Male,34936,
Parsia,Visions,Giant Female,62168,19407
Southway,Severe,Elf Male,56078,
Severlyn,Kitsuneflame,Human Female,77314,
Nebula75,Arms,Elf Female,75862,
djsven,Loot,Human Male,23154,
blazedmatcha,,Giant Female,10013,
Nightchild,Laughtale,Human Male,44628,
Chelero,Eradicate,Human Male,77054,
Miidoriisour,RF72,Elf Female,29796,
Allsong,Troupe,Elf Female,24235,
baobuns,Windcrest,Human Female,51506,
Asgarius,Mitigate,Human Male,3853,
naevyspy,,Elf Female,2,
Shara56,,Elf Male,17,
qrave,Alberio,Human Female,60808,
Titansoul,Aruarian,Human Female,52895,
Aven,Slayer,Elf Male,111578,
Poconoche,,Elf Female,30686,
Orukora,,Elf Female,20476,
Xione,Arat,Human Female,73601,
Sarmadomix,,Human Male,68914,19406
Timoris,Canto,Elf Male,54565,
Sawcie,Lily,Human Female,21810,
